Sequence No.,Type,State Machine Name,Status,Start Time,End Time,Execution Time
1,ORDER,MAPP_MASTER_ORDER_SCHEDULE,-,-,-,-
2,ORDER,MAPP_COMPACTION_GLPROD_ORDER_INTRADAY,-,-,-,-
3,ORDER,MAPP_ORDER_MASTER_SCHEDULE_INTRADAY,-,-,-,-
4,ORDER,MAPP_SPOTFIRE_REFRESH_ORDER,-,-,-,-
