Type,SFN
CONTINGENCY,MAPP_MASTER_CONTINGENCY_SCHEDULE
CONTINGENCY,MAPP_COMPACTION_CONTINGENCY
CONTINGENCY,MAPP_CDS_SNAPSHOT_GLPROD_CONTINGENCY
