Type,SFN
DAILY,ODP_DAILY_COMPACTION_SCHEDULE_START
DAILY,MAPP_RS_AUDIT_START
DAILY,MAPP_FLAT_FILE_COMPACTION
DAILY,MAPP_GLPROD_COMPACTION
DAILY,MAPP_COMPACTION_GLPROD_INTRADAY
DAILY,MAPP_RS_AUDIT_FINISH
DAILY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE
DAILY,MAPP_CDS_DAILY_MASTER_SCHEDULE
DAILY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER
DAILY,MAPP_SNAPSHOT_WRAPPER
DAILY,MAPP_REFRESH_SPOTFIRE
