Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Aug 31, 2020, 07:10","Aug 31, 2020, 07:18","7 mins, 43 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Aug 31, 2020, 07:40","Aug 31, 2020, 08:02","21 mins, 58 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,WAITING,-,-,-
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Aug 31, 2020, 06:43","Aug 31, 2020, 07:26","43 mins, 5 secs"
COMPACTION,CHU_COMPACTION,RUNNING,"Aug 31, 2020, 08:40",-,-
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Aug 31, 2020, 06:43","Aug 31, 2020, 07:09","26 mins, 39 secs"
COMPACTION,CSO_COMPACTION,SUCCEEDED,"Aug 31, 2020, 08:28","Aug 31, 2020, 08:40","12 mins, 12 secs"
COMPACTION,DRM_COMPACTION,SUCCEEDED,"Aug 31, 2020, 08:17","Aug 31, 2020, 08:28","11 mins, 0 secs"
COMPACTION,ELICENSE_COMPACTION,WAITING,-,-,-
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Aug 31, 2020, 07:43","Aug 31, 2020, 08:10","27 mins, 29 secs"
COMPACTION,GIB_COMPACTION,WAITING,-,-,-
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Aug 31, 2020, 01:30","Aug 31, 2020, 05:32","4 hrs, 1 mins, 59 secs"
COMPACTION,GLPROD_COMPACTION,RUNNING,"Aug 31, 2020, 06:43",-,-
COMPACTION,GPM_COMPACTION,RUNNING,"Aug 31, 2020, 08:02",-,-
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Aug 31, 2020, 06:43","Aug 31, 2020, 07:11","27 mins, 57 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Aug 31, 2020, 04:52","Aug 31, 2020, 05:20","28 mins, 0 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Aug 31, 2020, 05:20","Aug 31, 2020, 06:43","1 hrs, 22 mins, 34 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Aug 31, 2020, 07:11","Aug 31, 2020, 07:13","2 mins, 4 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Aug 31, 2020, 04:50","Aug 31, 2020, 04:52","1 mins, 49 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Aug 31, 2020, 06:43","Aug 31, 2020, 07:40","56 mins, 52 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Aug 31, 2020, 06:43","Aug 31, 2020, 07:10","27 mins, 13 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Aug 31, 2020, 07:26","Aug 31, 2020, 07:39","13 mins, 0 secs"
COMPACTION,NVO_COMPACTION,SUCCEEDED,"Aug 31, 2020, 08:10","Aug 31, 2020, 08:17","6 mins, 29 secs"
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Aug 31, 2020, 07:18","Aug 31, 2020, 07:43","25 mins, 12 secs"
COMPACTION,RULE_STUDIO_COMPACTION,WAITING,-,-,-
COMPACTION,SALESFORCE_COMPACTION,SUCCEEDED,"Aug 31, 2020, 07:10","Aug 31, 2020, 07:56","46 mins, 16 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Aug 31, 2020, 06:43","Aug 31, 2020, 07:10","26 mins, 57 secs"
COMPACTION,SERVICEMAX_COMPACTION,RUNNING,"Aug 31, 2020, 07:39",-,-
COMPACTION,SIEBEL_AMERICAS_COMPACTION,RUNNING,"Aug 31, 2020, 07:09",-,-
COMPACTION,SIT_COMPACTION,RUNNING,"Aug 31, 2020, 07:56",-,-
ENTITY,CD_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,IB_UPGRADE_ENTITY_JOBS,WAITING,-,-,-
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Aug 31, 2020, 07:13","Aug 31, 2020, 08:07","54 mins, 29 secs"
ENTITY,MAPP_REFRESH_SPOTFIRE,WAITING,-,-,-
ENTITY,MAPP_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,RUNNING,"Aug 31, 2020, 08:42",-,-
ENTITY,SR_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
CDS,CI_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,IB_INTEL_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Aug 31, 2020, 08:07","Aug 31, 2020, 08:42","34 mins, 54 secs"
CDS,OUTLIERS_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,SR_CDS_MASTER_SCHEDULE,WAITING,-,-,-
