Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Oct 16, 2020, 07:56","Oct 16, 2020, 08:06","10 mins, 8 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Oct 16, 2020, 08:17","Oct 16, 2020, 08:53","36 mins, 0 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,SUCCEEDED,"Oct 16, 2020, 08:53","Oct 16, 2020, 09:43","49 mins, 22 secs"
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Oct 16, 2020, 07:24","Oct 16, 2020, 08:03","38 mins, 14 secs"
COMPACTION,CHU_COMPACTION,SUCCEEDED,"Oct 16, 2020, 10:07","Oct 16, 2020, 10:23","16 mins, 24 secs"
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Oct 16, 2020, 07:24","Oct 16, 2020, 07:52","27 mins, 48 secs"
COMPACTION,CSO_COMPACTION,SUCCEEDED,"Oct 16, 2020, 09:52","Oct 16, 2020, 10:07","14 mins, 33 secs"
COMPACTION,DRM_COMPACTION,SUCCEEDED,"Oct 16, 2020, 09:22","Oct 16, 2020, 09:52","30 mins, 34 secs"
COMPACTION,ELICENSE_COMPACTION,SUCCEEDED,"Oct 16, 2020, 09:43","Oct 16, 2020, 09:56","13 mins, 35 secs"
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 16, 2020, 08:33","Oct 16, 2020, 09:14","41 mins, 19 secs"
COMPACTION,GIB_COMPACTION,SUCCEEDED,"Oct 16, 2020, 09:32","Oct 16, 2020, 10:16","43 mins, 35 secs"
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Oct 16, 2020, 01:30","Oct 16, 2020, 05:25","3 hrs, 54 mins, 51 secs"
COMPACTION,GLPROD_COMPACTION,SUCCEEDED,"Oct 16, 2020, 07:52","Oct 16, 2020, 09:23","1 hrs, 30 mins, 26 secs"
COMPACTION,GPM_COMPACTION,SUCCEEDED,"Oct 16, 2020, 08:55","Oct 16, 2020, 10:13","1 hrs, 18 mins, 6 secs"
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Oct 16, 2020, 07:24","Oct 16, 2020, 08:20","55 mins, 34 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 16, 2020, 04:52","Oct 16, 2020, 05:24","32 mins, 2 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Oct 16, 2020, 05:24","Oct 16, 2020, 07:24","2 hrs, 0 mins, 26 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Oct 16, 2020, 08:20","Oct 16, 2020, 08:22","1 mins, 55 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Oct 16, 2020, 04:50","Oct 16, 2020, 04:52","2 mins, 7 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Oct 16, 2020, 07:24","Oct 16, 2020, 08:17","52 mins, 51 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Oct 16, 2020, 07:24","Oct 16, 2020, 07:56","31 mins, 6 secs"
