Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Oct 18, 2020, 07:50","Oct 18, 2020, 08:03","12 mins, 55 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Oct 18, 2020, 08:15","Oct 18, 2020, 08:27","11 mins, 50 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,RUNNING,"Oct 18, 2020, 08:27",-,-
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Oct 18, 2020, 07:22","Oct 18, 2020, 08:01","38 mins, 36 secs"
COMPACTION,CHU_COMPACTION,WAITING,-,-,-
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Oct 18, 2020, 07:22","Oct 18, 2020, 07:47","25 mins, 14 secs"
COMPACTION,CSO_COMPACTION,WAITING,-,-,-
COMPACTION,DRM_COMPACTION,WAITING,-,-,-
COMPACTION,ELICENSE_COMPACTION,WAITING,-,-,-
COMPACTION,FLAT_FILE_COMPACTION,RUNNING,"Oct 18, 2020, 08:26",-,-
COMPACTION,GIB_COMPACTION,WAITING,-,-,-
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Oct 18, 2020, 01:30","Oct 18, 2020, 05:51","4 hrs, 20 mins, 51 secs"
COMPACTION,GLPROD_COMPACTION,RUNNING,"Oct 18, 2020, 07:47",-,-
COMPACTION,GPM_COMPACTION,WAITING,-,-,-
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Oct 18, 2020, 07:22","Oct 18, 2020, 08:11","49 mins, 11 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 18, 2020, 04:52","Oct 18, 2020, 05:21","29 mins, 18 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Oct 18, 2020, 05:21","Oct 18, 2020, 07:22","2 hrs, 0 mins, 47 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Oct 18, 2020, 08:11","Oct 18, 2020, 08:12","1 mins, 1 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Oct 18, 2020, 04:50","Oct 18, 2020, 04:52","2 mins, 6 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Oct 18, 2020, 07:22","Oct 18, 2020, 08:15","53 mins, 20 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Oct 18, 2020, 07:22","Oct 18, 2020, 07:50","27 mins, 34 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Oct 18, 2020, 08:01","Oct 18, 2020, 08:12","11 mins, 9 secs"
COMPACTION,NVO_COMPACTION,WAITING,-,-,-
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Oct 18, 2020, 08:03","Oct 18, 2020, 08:26","23 mins, 22 secs"
COMPACTION,RULE_STUDIO_COMPACTION,WAITING,-,-,-
COMPACTION,SALESFORCE_COMPACTION,SUCCEEDED,"Oct 18, 2020, 07:49","Oct 18, 2020, 08:31","42 mins, 17 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Oct 18, 2020, 07:22","Oct 18, 2020, 07:49","26 mins, 34 secs"
COMPACTION,SERVICEMAX_COMPACTION,RUNNING,"Oct 18, 2020, 07:22",-,-
COMPACTION,SIEBEL_AMERICAS_COMPACTION,RUNNING,"Oct 18, 2020, 08:12",-,-
COMPACTION,SIT_COMPACTION,RUNNING,"Oct 18, 2020, 08:31",-,-
ENTITY,CD_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,IB_UPGRADE_ENTITY_JOBS,WAITING,-,-,-
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,RUNNING,"Oct 18, 2020, 08:12",-,-
ENTITY,MAPP_REFRESH_SPOTFIRE,WAITING,-,-,-
ENTITY,MAPP_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,SR_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
CDS,CI_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,IB_INTEL_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE,WAITING,-,-,-
CDS,OUTLIERS_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,SR_CDS_MASTER_SCHEDULE,WAITING,-,-,-
