Type,SFN,Status,Start Time,End Time,Execution Time
DAILY,ODP_DAILY_COMPACTION_SCHEDULE_START,SUCCEEDED,"Sep 03, 2020, 04:50","Sep 03, 2020, 04:50","0 mins, 1 secs"
DAILY,MAPP_RS_AUDIT_START,SUCCEEDED,"Sep 03, 2020, 04:50","Sep 03, 2020, 04:52","2 mins, 8 secs"
DAILY,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 03, 2020, 04:52","Sep 03, 2020, 05:16","23 mins, 13 secs"
DAILY,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Sep 03, 2020, 05:16","Sep 03, 2020, 06:32","1 hrs, 15 mins, 56 secs"
DAILY,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Sep 03, 2020, 06:32","Sep 03, 2020, 07:04","32 mins, 42 secs"
DAILY,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Sep 03, 2020, 07:04","Sep 03, 2020, 07:06","2 mins, 3 secs"
DAILY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Sep 03, 2020, 07:06","Sep 03, 2020, 08:17","1 hrs, 10 mins, 19 secs"
DAILY,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Sep 03, 2020, 08:17","Sep 03, 2020, 10:51","2 hrs, 34 mins, 32 secs"
DAILY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,BYPASSED,-,-,-
DAILY,MAPP_SNAPSHOT_WRAPPER,SUCCEEDED,"Sep 03, 2020, 11:42","Sep 03, 2020, 12:02","19 mins, 48 secs"
DAILY,MAPP_REFRESH_SPOTFIRE,SUCCEEDED,"Sep 03, 2020, 12:02","Sep 03, 2020, 12:02","0 mins, 3 secs"
