Type,SFN,Status,Start Time,End Time,Execution Time
DAILY,ODP_DAILY_COMPACTION_SCHEDULE_START,SUCCEEDED,"Oct 25, 2020, 04:50","Oct 25, 2020, 04:50","0 mins, 1 secs"
DAILY,MAPP_RS_AUDIT_START,SUCCEEDED,"Oct 25, 2020, 04:50","Oct 25, 2020, 04:52","2 mins, 4 secs"
DAILY,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 25, 2020, 04:52","Oct 25, 2020, 05:25","33 mins, 35 secs"
DAILY,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Oct 25, 2020, 05:25","Oct 25, 2020, 07:26","2 hrs, 0 mins, 51 secs"
DAILY,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Oct 25, 2020, 07:26","Oct 25, 2020, 08:26","1 hrs, 0 mins, 8 secs"
DAILY,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Oct 25, 2020, 08:26","Oct 25, 2020, 08:29","2 mins, 1 secs"
DAILY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Oct 25, 2020, 08:29","Oct 25, 2020, 09:14","45 mins, 48 secs"
DAILY,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Oct 25, 2020, 09:14","Oct 25, 2020, 10:15","1 hrs, 0 mins, 13 secs"
DAILY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,SUCCEEDED,"Oct 25, 2020, 10:15","Oct 25, 2020, 10:19","4 mins, 39 secs"
DAILY,MAPP_SNAPSHOT_WRAPPER,SUCCEEDED,"Oct 25, 2020, 10:19","Oct 25, 2020, 10:34","14 mins, 27 secs"
DAILY,MAPP_REFRESH_SPOTFIRE,SUCCEEDED,"Oct 25, 2020, 10:34","Oct 25, 2020, 10:34","0 mins, 2 secs"
