Type,SFN,Status,Start Time,End Time,Execution Time
DAILY,ODP_DAILY_COMPACTION_SCHEDULE_START,SUCCEEDED,"Oct 13, 2020, 04:50","Oct 13, 2020, 04:50","0 mins, 1 secs"
DAILY,MAPP_RS_AUDIT_START,SUCCEEDED,"Oct 13, 2020, 04:50","Oct 13, 2020, 04:52","2 mins, 2 secs"
DAILY,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 13, 2020, 04:52","Oct 13, 2020, 05:20","28 mins, 12 secs"
DAILY,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Oct 13, 2020, 05:20","Oct 13, 2020, 08:13","2 hrs, 53 mins, 20 secs"
DAILY,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Oct 13, 2020, 08:18","Oct 13, 2020, 09:08","49 mins, 39 secs"
DAILY,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Oct 13, 2020, 09:08","Oct 13, 2020, 09:10","2 mins, 5 secs"
DAILY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Oct 13, 2020, 09:10","Oct 13, 2020, 10:10","1 hrs, 0 mins, 5 secs"
DAILY,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Oct 13, 2020, 10:10","Oct 13, 2020, 11:15","1 hrs, 5 mins, 8 secs"
DAILY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,BYPASSED,-,-,-
DAILY,MAPP_SNAPSHOT_WRAPPER,SUCCEEDED,"Oct 13, 2020, 11:33","Oct 13, 2020, 11:39","6 mins, 17 secs"
DAILY,MAPP_REFRESH_SPOTFIRE,SUCCEEDED,"Oct 13, 2020, 11:39","Oct 13, 2020, 11:39","0 mins, 1 secs"
