Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:42","Sep 20, 2020, 07:55","12 mins, 37 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:56","Sep 20, 2020, 08:19","22 mins, 32 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,WAITING,-,-,-
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:09","Sep 20, 2020, 07:42","33 mins, 8 secs"
COMPACTION,CHU_COMPACTION,WAITING,-,-,-
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:09","Sep 20, 2020, 07:38","29 mins, 15 secs"
COMPACTION,CSO_COMPACTION,WAITING,-,-,-
COMPACTION,DRM_COMPACTION,WAITING,-,-,-
COMPACTION,ELICENSE_COMPACTION,WAITING,-,-,-
COMPACTION,FLAT_FILE_COMPACTION,RUNNING,"Sep 20, 2020, 08:08",-,-
COMPACTION,GIB_COMPACTION,WAITING,-,-,-
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Sep 20, 2020, 01:30","Sep 20, 2020, 05:52","4 hrs, 22 mins, 0 secs"
COMPACTION,GLPROD_COMPACTION,RUNNING,"Sep 20, 2020, 07:09",-,-
COMPACTION,GPM_COMPACTION,RUNNING,"Sep 20, 2020, 08:19",-,-
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Sep 20, 2020, 07:09","Sep 20, 2020, 08:01","52 mins, 39 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 20, 2020, 04:56","Sep 20, 2020, 05:22","25 mins, 46 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Sep 20, 2020, 05:22","Sep 20, 2020, 07:09","1 hrs, 46 mins, 30 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Sep 20, 2020, 08:01","Sep 20, 2020, 08:04","2 mins, 7 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Sep 20, 2020, 04:53","Sep 20, 2020, 04:56","3 mins, 16 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:09","Sep 20, 2020, 07:56","47 mins, 19 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:09","Sep 20, 2020, 07:42","33 mins, 10 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:42","Sep 20, 2020, 07:54","12 mins, 1 secs"
COMPACTION,NVO_COMPACTION,WAITING,-,-,-
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:55","Sep 20, 2020, 08:08","13 mins, 17 secs"
COMPACTION,RULE_STUDIO_COMPACTION,WAITING,-,-,-
COMPACTION,SALESFORCE_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:37","Sep 20, 2020, 08:18","41 mins, 40 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Sep 20, 2020, 07:09","Sep 20, 2020, 07:37","27 mins, 44 secs"
COMPACTION,SERVICEMAX_COMPACTION,RUNNING,"Sep 20, 2020, 07:54",-,-
COMPACTION,SIEBEL_AMERICAS_COMPACTION,RUNNING,"Sep 20, 2020, 07:38",-,-
COMPACTION,SIT_COMPACTION,RUNNING,"Sep 20, 2020, 08:18",-,-
ENTITY,CD_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,IB_UPGRADE_ENTITY_JOBS,WAITING,-,-,-
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,FAILED,"Sep 20, 2020, 08:04","Sep 20, 2020, 08:23","19 mins, 49 secs"
ENTITY,MAPP_REFRESH_SPOTFIRE,WAITING,-,-,-
ENTITY,MAPP_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,SR_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
CDS,CI_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,IB_INTEL_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE,WAITING,-,-,-
CDS,OUTLIERS_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,SR_CDS_MASTER_SCHEDULE,WAITING,-,-,-
