Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:04","Aug 14, 2020, 07:12","7 mins, 43 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:25","Aug 14, 2020, 07:43","18 mins, 48 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,SUCCEEDED,"Aug 14, 2020, 09:11","Aug 14, 2020, 10:22","1 hrs, 10 mins, 52 secs"
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Aug 14, 2020, 06:34","Aug 14, 2020, 07:19","44 mins, 59 secs"
COMPACTION,CHU_COMPACTION,SUCCEEDED,"Aug 14, 2020, 08:57","Aug 14, 2020, 09:15","17 mins, 31 secs"
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Aug 14, 2020, 06:34","Aug 14, 2020, 07:02","28 mins, 17 secs"
COMPACTION,CSO_COMPACTION,SUCCEEDED,"Aug 14, 2020, 08:35","Aug 14, 2020, 08:57","21 mins, 40 secs"
COMPACTION,DRM_COMPACTION,SUCCEEDED,"Aug 14, 2020, 08:23","Aug 14, 2020, 08:35","12 mins, 46 secs"
COMPACTION,ELICENSE_COMPACTION,SUCCEEDED,"Aug 14, 2020, 10:22","Aug 14, 2020, 10:30","8 mins, 12 secs"
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:45","Aug 14, 2020, 08:15","30 mins, 8 secs"
COMPACTION,GIB_COMPACTION,SUCCEEDED,"Aug 14, 2020, 10:00","Aug 14, 2020, 10:27","27 mins, 29 secs"
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Aug 14, 2020, 01:30","Aug 14, 2020, 05:56","4 hrs, 25 mins, 56 secs"
COMPACTION,GLPROD_COMPACTION,SUCCEEDED,"Aug 14, 2020, 06:34","Aug 14, 2020, 10:47","4 hrs, 13 mins, 29 secs"
COMPACTION,GPM_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:43","Aug 14, 2020, 09:11","1 hrs, 27 mins, 52 secs"
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Aug 14, 2020, 06:34","Aug 14, 2020, 07:05","31 mins, 56 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Aug 14, 2020, 04:53","Aug 14, 2020, 05:20","26 mins, 55 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Aug 14, 2020, 05:20","Aug 14, 2020, 06:33","1 hrs, 13 mins, 35 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Aug 14, 2020, 07:05","Aug 14, 2020, 07:06","1 mins, 0 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Aug 14, 2020, 04:50","Aug 14, 2020, 04:53","2 mins, 58 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Aug 14, 2020, 06:34","Aug 14, 2020, 07:25","51 mins, 0 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Aug 14, 2020, 06:34","Aug 14, 2020, 07:04","30 mins, 37 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:19","Aug 14, 2020, 07:27","8 mins, 15 secs"
COMPACTION,NVO_COMPACTION,SUCCEEDED,"Aug 14, 2020, 08:15","Aug 14, 2020, 08:23","7 mins, 45 secs"
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:12","Aug 14, 2020, 07:45","32 mins, 50 secs"
COMPACTION,RULE_STUDIO_COMPACTION,SUCCEEDED,"Aug 14, 2020, 09:50","Aug 14, 2020, 10:00","9 mins, 31 secs"
COMPACTION,SALESFORCE_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:01","Aug 14, 2020, 07:51","50 mins, 53 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Aug 14, 2020, 06:34","Aug 14, 2020, 07:01","27 mins, 2 secs"
COMPACTION,SERVICEMAX_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:27","Aug 14, 2020, 10:04","2 hrs, 37 mins, 19 secs"
COMPACTION,SIEBEL_AMERICAS_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:02","Aug 14, 2020, 09:50","2 hrs, 48 mins, 34 secs"
COMPACTION,SIT_COMPACTION,SUCCEEDED,"Aug 14, 2020, 07:51","Aug 14, 2020, 10:05","2 hrs, 13 mins, 21 secs"
ENTITY,CD_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Aug 14, 2020, 10:47","Aug 14, 2020, 11:27","40 mins, 11 secs"
ENTITY,CI_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Aug 14, 2020, 12:16","Aug 14, 2020, 12:50","34 mins, 11 secs"
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,SUCCEEDED,"Aug 14, 2020, 11:27","Aug 14, 2020, 12:16","48 mins, 47 secs"
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Aug 14, 2020, 11:27","Aug 14, 2020, 12:04","37 mins, 3 secs"
ENTITY,IB_UPGRADE_ENTITY_JOBS,RUNNING,"Aug 14, 2020, 16:07",-,-
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Aug 14, 2020, 07:06","Aug 14, 2020, 07:46","39 mins, 32 secs"
ENTITY,MAPP_REFRESH_SPOTFIRE,SUCCEEDED,"Aug 14, 2020, 10:36","Aug 14, 2020, 10:36","0 mins, 3 secs"
ENTITY,MAPP_SNAPSHOT_WRAPPER,SUCCEEDED,"Aug 14, 2020, 10:21","Aug 14, 2020, 10:36","14 mins, 44 secs"
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,SUCCEEDED,"Aug 14, 2020, 08:15","Aug 14, 2020, 08:21","5 mins, 38 secs"
ENTITY,SR_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Aug 14, 2020, 13:47","Aug 14, 2020, 14:52","1 hrs, 5 mins, 22 secs"
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
CDS,CI_CDS_MASTER_SCHEDULE,SUCCEEDED,"Aug 14, 2020, 13:47","Aug 14, 2020, 16:07","2 hrs, 20 mins, 40 secs"
CDS,IB_INTEL_CDS_MASTER_SCHEDULE,SUCCEEDED,"Aug 14, 2020, 12:04","Aug 14, 2020, 13:47","1 hrs, 42 mins, 17 secs"
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Aug 14, 2020, 07:46","Aug 14, 2020, 08:15","29 mins, 18 secs"
CDS,OUTLIERS_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,SR_CDS_MASTER_SCHEDULE,RUNNING,"Aug 14, 2020, 14:52",-,-
