Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Sep 30, 2020, 07:41","Sep 30, 2020, 07:56","15 mins, 27 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Sep 30, 2020, 08:04","Sep 30, 2020, 08:36","31 mins, 59 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,WAITING,-,-,-
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Sep 30, 2020, 07:12","Sep 30, 2020, 07:48","36 mins, 27 secs"
COMPACTION,CHU_COMPACTION,WAITING,-,-,-
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Sep 30, 2020, 07:12","Sep 30, 2020, 07:39","26 mins, 49 secs"
COMPACTION,CSO_COMPACTION,WAITING,-,-,-
COMPACTION,DRM_COMPACTION,WAITING,-,-,-
COMPACTION,ELICENSE_COMPACTION,WAITING,-,-,-
COMPACTION,FLAT_FILE_COMPACTION,RUNNING,"Sep 30, 2020, 08:22",-,-
COMPACTION,GIB_COMPACTION,WAITING,-,-,-
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Sep 30, 2020, 01:30","Sep 30, 2020, 05:38","4 hrs, 8 mins, 20 secs"
COMPACTION,GLPROD_COMPACTION,RUNNING,"Sep 30, 2020, 07:12",-,-
COMPACTION,GPM_COMPACTION,RUNNING,"Sep 30, 2020, 08:36",-,-
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Sep 30, 2020, 07:12","Sep 30, 2020, 08:06","54 mins, 15 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 30, 2020, 04:53","Sep 30, 2020, 05:22","29 mins, 24 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Sep 30, 2020, 05:22","Sep 30, 2020, 07:12","1 hrs, 49 mins, 29 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Sep 30, 2020, 08:06","Sep 30, 2020, 08:07","1 mins, 4 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Sep 30, 2020, 04:50","Sep 30, 2020, 04:53","2 mins, 53 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Sep 30, 2020, 07:12","Sep 30, 2020, 08:04","51 mins, 45 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Sep 30, 2020, 07:12","Sep 30, 2020, 07:41","28 mins, 41 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Sep 30, 2020, 07:48","Sep 30, 2020, 07:58","10 mins, 10 secs"
COMPACTION,NVO_COMPACTION,WAITING,-,-,-
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Sep 30, 2020, 07:56","Sep 30, 2020, 08:22","26 mins, 13 secs"
COMPACTION,RULE_STUDIO_COMPACTION,WAITING,-,-,-
COMPACTION,SALESFORCE_COMPACTION,SUCCEEDED,"Sep 30, 2020, 07:38","Sep 30, 2020, 08:23","45 mins, 27 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Sep 30, 2020, 07:12","Sep 30, 2020, 07:38","25 mins, 58 secs"
COMPACTION,SERVICEMAX_COMPACTION,RUNNING,"Sep 30, 2020, 07:58",-,-
COMPACTION,SIEBEL_AMERICAS_COMPACTION,RUNNING,"Sep 30, 2020, 07:39",-,-
COMPACTION,SIT_COMPACTION,RUNNING,"Sep 30, 2020, 08:23",-,-
ENTITY,CD_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,IB_UPGRADE_ENTITY_JOBS,WAITING,-,-,-
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,RUNNING,"Sep 30, 2020, 08:07",-,-
ENTITY,MAPP_REFRESH_SPOTFIRE,WAITING,-,-,-
ENTITY,MAPP_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,SR_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
CDS,CI_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,IB_INTEL_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE,WAITING,-,-,-
CDS,OUTLIERS_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,SR_CDS_MASTER_SCHEDULE,WAITING,-,-,-
