Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:47","Oct 07, 2020, 07:56","9 mins, 45 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Oct 07, 2020, 08:28","Oct 07, 2020, 09:06","37 mins, 56 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,SUCCEEDED,"Oct 07, 2020, 10:16","Oct 07, 2020, 10:51","35 mins, 20 secs"
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:19","Oct 07, 2020, 07:54","35 mins, 53 secs"
COMPACTION,CHU_COMPACTION,SUCCEEDED,"Oct 07, 2020, 09:56","Oct 07, 2020, 10:09","12 mins, 31 secs"
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:19","Oct 07, 2020, 07:46","27 mins, 7 secs"
COMPACTION,CSO_COMPACTION,SUCCEEDED,"Oct 07, 2020, 09:48","Oct 07, 2020, 09:56","7 mins, 42 secs"
COMPACTION,DRM_COMPACTION,SUCCEEDED,"Oct 07, 2020, 09:23","Oct 07, 2020, 09:48","25 mins, 15 secs"
COMPACTION,ELICENSE_COMPACTION,SUCCEEDED,"Oct 07, 2020, 10:51","Oct 07, 2020, 11:21","29 mins, 29 secs"
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 07, 2020, 08:21","Oct 07, 2020, 09:10","48 mins, 42 secs"
COMPACTION,GIB_COMPACTION,SUCCEEDED,"Oct 07, 2020, 09:24","Oct 07, 2020, 09:54","29 mins, 46 secs"
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Oct 07, 2020, 01:30","Oct 07, 2020, 05:31","4 hrs, 1 mins, 0 secs"
COMPACTION,GLPROD_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:46","Oct 07, 2020, 09:12","1 hrs, 26 mins, 4 secs"
COMPACTION,GPM_COMPACTION,SUCCEEDED,"Oct 07, 2020, 09:06","Oct 07, 2020, 10:54","1 hrs, 47 mins, 20 secs"
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Oct 07, 2020, 07:19","Oct 07, 2020, 08:12","53 mins, 18 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 07, 2020, 04:52","Oct 07, 2020, 05:21","28 mins, 27 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Oct 07, 2020, 05:21","Oct 07, 2020, 07:19","1 hrs, 57 mins, 51 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Oct 07, 2020, 08:12","Oct 07, 2020, 08:15","3 mins, 8 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Oct 07, 2020, 04:50","Oct 07, 2020, 04:52","2 mins, 9 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:19","Oct 07, 2020, 08:28","1 hrs, 9 mins, 43 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:19","Oct 07, 2020, 07:47","28 mins, 2 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:54","Oct 07, 2020, 08:09","14 mins, 11 secs"
COMPACTION,NVO_COMPACTION,SUCCEEDED,"Oct 07, 2020, 09:10","Oct 07, 2020, 09:23","12 mins, 55 secs"
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:56","Oct 07, 2020, 08:21","25 mins, 5 secs"
COMPACTION,RULE_STUDIO_COMPACTION,SUCCEEDED,"Oct 07, 2020, 09:12","Oct 07, 2020, 09:24","12 mins, 42 secs"
COMPACTION,SALESFORCE_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:45","Oct 07, 2020, 08:25","40 mins, 33 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:19","Oct 07, 2020, 07:45","26 mins, 1 secs"
COMPACTION,SERVICEMAX_COMPACTION,SUCCEEDED,"Oct 07, 2020, 07:19","Oct 07, 2020, 08:55","1 hrs, 36 mins, 7 secs"
COMPACTION,SIEBEL_AMERICAS_COMPACTION,SUCCEEDED,"Oct 07, 2020, 08:09","Oct 07, 2020, 09:53","1 hrs, 44 mins, 28 secs"
COMPACTION,SIT_COMPACTION,SUCCEEDED,"Oct 07, 2020, 08:25","Oct 07, 2020, 09:55","1 hrs, 29 mins, 24 secs"
ENTITY,CD_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Oct 07, 2020, 11:21","Oct 07, 2020, 12:36","1 hrs, 15 mins, 7 secs"
ENTITY,CI_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Oct 07, 2020, 13:43","Oct 07, 2020, 14:11","27 mins, 45 secs"
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,SUCCEEDED,"Oct 07, 2020, 12:36","Oct 07, 2020, 13:43","1 hrs, 7 mins, 22 secs"
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Oct 07, 2020, 12:36","Oct 07, 2020, 14:14","1 hrs, 37 mins, 38 secs"
ENTITY,IB_UPGRADE_ENTITY_JOBS,SUCCEEDED,"Oct 07, 2020, 17:48","Oct 07, 2020, 19:22","1 hrs, 33 mins, 21 secs"
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Oct 07, 2020, 08:15","Oct 07, 2020, 10:01","1 hrs, 45 mins, 48 secs"
ENTITY,MAPP_REFRESH_SPOTFIRE,SUCCEEDED,"Oct 07, 2020, 10:36","Oct 07, 2020, 10:36","0 mins, 3 secs"
ENTITY,MAPP_SNAPSHOT_WRAPPER,SUCCEEDED,"Oct 07, 2020, 10:21","Oct 07, 2020, 10:36","15 mins, 14 secs"
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,SR_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Oct 07, 2020, 15:55","Oct 07, 2020, 17:16","1 hrs, 20 mins, 53 secs"
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
