Type,SFN,Status,Start Time,End Time,Execution Time
CONTINGENCY,MAPP_MASTER_CONTINGENCY_SCHEDULE,SUCCEEDED,"Oct 14, 2020, 10:45","Oct 14, 2020, 10:45","0 mins, 1 secs"
CONTINGENCY,MAPP_COMPACTION_CONTINGENCY,SUCCEEDED,"Oct 14, 2020, 10:45","Oct 14, 2020, 11:09","24 mins, 23 secs"
CONTINGENCY,MAPP_CDS_SNAPSHOT_GLPROD_CONTINGENCY,SUCCEEDED,"Oct 14, 2020, 11:09","Oct 14, 2020, 11:09","0 mins, 1 secs"
