Type,SFN,Status,Start Time,End Time,Execution Time
DAILY,ODP_DAILY_COMPACTION_SCHEDULE_START,SUCCEEDED,"Oct 17, 2020, 04:50","Oct 17, 2020, 04:50","0 mins, 1 secs"
DAILY,MAPP_RS_AUDIT_START,SUCCEEDED,"Oct 17, 2020, 04:50","Oct 17, 2020, 04:52","1 mins, 59 secs"
DAILY,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 17, 2020, 04:52","Oct 17, 2020, 05:18","26 mins, 22 secs"
DAILY,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Oct 17, 2020, 05:18","Oct 17, 2020, 07:30","2 hrs, 11 mins, 55 secs"
DAILY,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Oct 17, 2020, 07:30","Oct 17, 2020, 08:19","49 mins, 7 secs"
DAILY,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Oct 17, 2020, 08:19","Oct 17, 2020, 08:21","2 mins, 10 secs"
DAILY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Oct 17, 2020, 08:21","Oct 17, 2020, 08:51","29 mins, 50 secs"
DAILY,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Oct 17, 2020, 08:51","Oct 17, 2020, 09:11","19 mins, 30 secs"
DAILY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,SUCCEEDED,"Oct 17, 2020, 09:11","Oct 17, 2020, 09:15","4 mins, 37 secs"
DAILY,MAPP_SNAPSHOT_WRAPPER,SUCCEEDED,"Oct 17, 2020, 09:15","Oct 17, 2020, 09:26","10 mins, 13 secs"
DAILY,MAPP_REFRESH_SPOTFIRE,SUCCEEDED,"Oct 17, 2020, 09:26","Oct 17, 2020, 09:26","0 mins, 4 secs"
