Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Aug 25, 2020, 07:14","Aug 25, 2020, 07:25","10 mins, 38 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Aug 25, 2020, 07:39","Aug 25, 2020, 08:05","25 mins, 53 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,SUCCEEDED,"Aug 25, 2020, 09:19","Aug 25, 2020, 10:22","1 hrs, 2 mins, 52 secs"
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Aug 25, 2020, 06:50","Aug 25, 2020, 07:36","46 mins, 21 secs"
COMPACTION,CHU_COMPACTION,SUCCEEDED,"Aug 25, 2020, 09:18","Aug 25, 2020, 09:43","24 mins, 15 secs"
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Aug 25, 2020, 06:50","Aug 25, 2020, 07:17","27 mins, 2 secs"
COMPACTION,CSO_COMPACTION,SUCCEEDED,"Aug 25, 2020, 09:07","Aug 25, 2020, 09:18","11 mins, 9 secs"
COMPACTION,DRM_COMPACTION,SUCCEEDED,"Aug 25, 2020, 08:38","Aug 25, 2020, 09:07","29 mins, 12 secs"
COMPACTION,ELICENSE_COMPACTION,SUCCEEDED,"Aug 25, 2020, 10:22","Aug 25, 2020, 10:32","9 mins, 51 secs"
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Aug 25, 2020, 08:00","Aug 25, 2020, 08:29","28 mins, 28 secs"
COMPACTION,GIB_COMPACTION,SUCCEEDED,"Aug 25, 2020, 10:32","Aug 25, 2020, 11:17","45 mins, 21 secs"
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Aug 25, 2020, 01:30","Aug 25, 2020, 06:52","5 hrs, 22 mins, 20 secs"
COMPACTION,GLPROD_COMPACTION,FAILED,"Aug 25, 2020, 06:50","Aug 25, 2020, 10:45","3 hrs, 55 mins, 12 secs"
COMPACTION,GPM_COMPACTION,SUCCEEDED,"Aug 25, 2020, 08:05","Aug 25, 2020, 09:19","1 hrs, 13 mins, 45 secs"
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Aug 25, 2020, 06:50","Aug 25, 2020, 07:19","29 mins, 33 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Aug 25, 2020, 04:53","Aug 25, 2020, 05:21","28 mins, 17 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Aug 25, 2020, 05:21","Aug 25, 2020, 06:49","1 hrs, 28 mins, 11 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Aug 25, 2020, 07:19","Aug 25, 2020, 07:20","0 mins, 59 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Aug 25, 2020, 04:50","Aug 25, 2020, 04:53","3 mins, 0 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Aug 25, 2020, 06:50","Aug 25, 2020, 07:39","49 mins, 43 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Aug 25, 2020, 06:50","Aug 25, 2020, 07:14","24 mins, 56 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Aug 25, 2020, 07:36","Aug 25, 2020, 07:46","10 mins, 13 secs"
COMPACTION,NVO_COMPACTION,SUCCEEDED,"Aug 25, 2020, 08:29","Aug 25, 2020, 08:38","9 mins, 6 secs"
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Aug 25, 2020, 07:25","Aug 25, 2020, 08:00","35 mins, 14 secs"
COMPACTION,RULE_STUDIO_COMPACTION,SUCCEEDED,"Aug 25, 2020, 10:03","Aug 25, 2020, 10:32","28 mins, 28 secs"
COMPACTION,SALESFORCE_COMPACTION,SUCCEEDED,"Aug 25, 2020, 07:15","Aug 25, 2020, 08:08","53 mins, 3 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Aug 25, 2020, 06:50","Aug 25, 2020, 07:15","25 mins, 47 secs"
COMPACTION,SERVICEMAX_COMPACTION,SUCCEEDED,"Aug 25, 2020, 07:46","Aug 25, 2020, 10:27","2 hrs, 40 mins, 48 secs"
COMPACTION,SIEBEL_AMERICAS_COMPACTION,SUCCEEDED,"Aug 25, 2020, 07:17","Aug 25, 2020, 10:03","2 hrs, 46 mins, 39 secs"
COMPACTION,SIT_COMPACTION,SUCCEEDED,"Aug 25, 2020, 08:08","Aug 25, 2020, 10:35","2 hrs, 26 mins, 36 secs"
ENTITY,CD_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Aug 25, 2020, 11:50","Aug 25, 2020, 12:36","45 mins, 24 secs"
ENTITY,CI_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Aug 25, 2020, 14:06","Aug 25, 2020, 14:56","49 mins, 42 secs"
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,SUCCEEDED,"Aug 25, 2020, 12:36","Aug 25, 2020, 14:06","1 hrs, 30 mins, 26 secs"
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Aug 25, 2020, 12:36","Aug 25, 2020, 13:19","42 mins, 49 secs"
ENTITY,IB_UPGRADE_ENTITY_JOBS,RUNNING,"Aug 25, 2020, 20:42",-,-
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Aug 25, 2020, 07:20","Aug 25, 2020, 08:20","59 mins, 41 secs"
ENTITY,MAPP_REFRESH_SPOTFIRE,SUCCEEDED,"Aug 25, 2020, 11:06","Aug 25, 2020, 11:06","0 mins, 3 secs"
ENTITY,MAPP_SNAPSHOT_WRAPPER,SUCCEEDED,"Aug 25, 2020, 10:46","Aug 25, 2020, 11:06","20 mins, 12 secs"
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,SR_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Aug 25, 2020, 15:43","Aug 25, 2020, 17:06","1 hrs, 22 mins, 26 secs"
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
CDS,CI_CDS_MASTER_SCHEDULE,SUCCEEDED,"Aug 25, 2020, 15:43","Aug 25, 2020, 20:42","4 hrs, 58 mins, 14 secs"
CDS,IB_INTEL_CDS_MASTER_SCHEDULE,SUCCEEDED,"Aug 25, 2020, 13:19","Aug 25, 2020, 15:43","2 hrs, 24 mins, 48 secs"
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Aug 25, 2020, 08:20","Aug 25, 2020, 10:46","2 hrs, 25 mins, 52 secs"
CDS,OUTLIERS_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,SR_CDS_MASTER_SCHEDULE,RUNNING,"Aug 25, 2020, 17:06",-,-
