Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Sep 23, 2020, 07:54","Sep 23, 2020, 08:02","7 mins, 59 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Sep 23, 2020, 08:10","Sep 23, 2020, 08:34","24 mins, 44 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,SUCCEEDED,"Sep 23, 2020, 12:12","Sep 23, 2020, 12:50","38 mins, 37 secs"
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Sep 23, 2020, 07:26","Sep 23, 2020, 08:06","39 mins, 38 secs"
COMPACTION,CHU_COMPACTION,SUCCEEDED,"Sep 23, 2020, 10:04","Sep 23, 2020, 10:15","10 mins, 35 secs"
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Sep 23, 2020, 07:26","Sep 23, 2020, 07:51","25 mins, 1 secs"
COMPACTION,CSO_COMPACTION,SUCCEEDED,"Sep 23, 2020, 09:56","Sep 23, 2020, 10:04","8 mins, 20 secs"
COMPACTION,DRM_COMPACTION,SUCCEEDED,"Sep 23, 2020, 09:44","Sep 23, 2020, 09:56","12 mins, 15 secs"
COMPACTION,ELICENSE_COMPACTION,SUCCEEDED,"Sep 23, 2020, 12:50","Sep 23, 2020, 13:19","29 mins, 5 secs"
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 23, 2020, 08:37","Sep 23, 2020, 09:33","56 mins, 32 secs"
COMPACTION,GIB_COMPACTION,SUCCEEDED,"Sep 23, 2020, 09:52","Sep 23, 2020, 10:10","17 mins, 45 secs"
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Sep 23, 2020, 01:30","Sep 23, 2020, 05:59","4 hrs, 28 mins, 58 secs"
COMPACTION,GLPROD_COMPACTION,SUCCEEDED,"Sep 23, 2020, 07:26","Sep 23, 2020, 09:02","1 hrs, 35 mins, 22 secs"
COMPACTION,GPM_COMPACTION,SUCCEEDED,"Sep 23, 2020, 08:34","Sep 23, 2020, 12:12","3 hrs, 37 mins, 12 secs"
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Sep 23, 2020, 07:26","Sep 23, 2020, 08:20","53 mins, 17 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 23, 2020, 04:53","Sep 23, 2020, 05:19","25 mins, 51 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Sep 23, 2020, 05:19","Sep 23, 2020, 07:26","2 hrs, 7 mins, 13 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Sep 23, 2020, 08:20","Sep 23, 2020, 08:21","1 mins, 6 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Sep 23, 2020, 04:50","Sep 23, 2020, 04:53","3 mins, 9 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Sep 23, 2020, 07:26","Sep 23, 2020, 08:10","43 mins, 25 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Sep 23, 2020, 07:26","Sep 23, 2020, 07:54","28 mins, 10 secs"
