Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Oct 01, 2020, 07:50","Oct 01, 2020, 08:03","12 mins, 25 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Oct 01, 2020, 08:09","Oct 01, 2020, 08:31","22 mins, 37 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,SUCCEEDED,"Oct 01, 2020, 10:05","Oct 01, 2020, 10:40","35 mins, 33 secs"
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Oct 01, 2020, 07:21","Oct 01, 2020, 07:58","37 mins, 1 secs"
COMPACTION,CHU_COMPACTION,SUCCEEDED,"Oct 01, 2020, 10:15","Oct 01, 2020, 10:25","9 mins, 39 secs"
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Oct 01, 2020, 07:21","Oct 01, 2020, 07:48","27 mins, 5 secs"
COMPACTION,CSO_COMPACTION,SUCCEEDED,"Oct 01, 2020, 10:06","Oct 01, 2020, 10:15","9 mins, 50 secs"
COMPACTION,DRM_COMPACTION,SUCCEEDED,"Oct 01, 2020, 09:49","Oct 01, 2020, 10:06","17 mins, 0 secs"
COMPACTION,ELICENSE_COMPACTION,SUCCEEDED,"Oct 01, 2020, 10:40","Oct 01, 2020, 11:10","29 mins, 41 secs"
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 01, 2020, 08:34","Oct 01, 2020, 09:33","58 mins, 39 secs"
COMPACTION,GIB_COMPACTION,SUCCEEDED,"Oct 01, 2020, 09:53","Oct 01, 2020, 10:12","18 mins, 52 secs"
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Oct 01, 2020, 01:30","Oct 01, 2020, 05:41","4 hrs, 11 mins, 10 secs"
COMPACTION,GLPROD_COMPACTION,SUCCEEDED,"Oct 01, 2020, 07:21","Oct 01, 2020, 09:04","1 hrs, 42 mins, 49 secs"
COMPACTION,GPM_COMPACTION,SUCCEEDED,"Oct 01, 2020, 08:31","Oct 01, 2020, 10:05","1 hrs, 33 mins, 21 secs"
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Oct 01, 2020, 07:21","Oct 01, 2020, 08:10","48 mins, 29 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Oct 01, 2020, 04:52","Oct 01, 2020, 05:26","33 mins, 52 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Oct 01, 2020, 05:26","Oct 01, 2020, 07:21","1 hrs, 55 mins, 10 secs"
