Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:43","Sep 28, 2020, 07:52","8 mins, 37 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:59","Sep 28, 2020, 08:24","24 mins, 31 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,SUCCEEDED,"Sep 28, 2020, 09:47","Sep 28, 2020, 10:16","29 mins, 5 secs"
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:15","Sep 28, 2020, 07:52","36 mins, 15 secs"
COMPACTION,CHU_COMPACTION,SUCCEEDED,"Sep 28, 2020, 10:07","Sep 28, 2020, 10:43","35 mins, 12 secs"
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:15","Sep 28, 2020, 07:42","26 mins, 59 secs"
COMPACTION,CSO_COMPACTION,SUCCEEDED,"Sep 28, 2020, 10:01","Sep 28, 2020, 10:07","6 mins, 38 secs"
COMPACTION,DRM_COMPACTION,SUCCEEDED,"Sep 28, 2020, 09:33","Sep 28, 2020, 10:01","27 mins, 26 secs"
COMPACTION,ELICENSE_COMPACTION,SUCCEEDED,"Sep 28, 2020, 10:16","Sep 28, 2020, 10:38","21 mins, 48 secs"
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 28, 2020, 08:34","Sep 28, 2020, 09:23","49 mins, 9 secs"
COMPACTION,GIB_COMPACTION,SUCCEEDED,"Sep 28, 2020, 09:33","Sep 28, 2020, 10:09","35 mins, 47 secs"
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Sep 28, 2020, 01:30","Sep 28, 2020, 05:21","3 hrs, 51 mins, 5 secs"
COMPACTION,GLPROD_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:15","Sep 28, 2020, 09:03","1 hrs, 47 mins, 18 secs"
COMPACTION,GPM_COMPACTION,SUCCEEDED,"Sep 28, 2020, 08:24","Sep 28, 2020, 09:47","1 hrs, 22 mins, 44 secs"
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Sep 28, 2020, 07:15","Sep 28, 2020, 08:13","57 mins, 58 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 28, 2020, 04:55","Sep 28, 2020, 05:23","28 mins, 43 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Sep 28, 2020, 05:23","Sep 28, 2020, 07:15","1 hrs, 51 mins, 55 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Sep 28, 2020, 08:13","Sep 28, 2020, 08:14","1 mins, 2 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Sep 28, 2020, 04:50","Sep 28, 2020, 04:55","4 mins, 44 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:15","Sep 28, 2020, 07:59","43 mins, 58 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:15","Sep 28, 2020, 07:43","27 mins, 50 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:52","Sep 28, 2020, 07:59","6 mins, 53 secs"
COMPACTION,NVO_COMPACTION,SUCCEEDED,"Sep 28, 2020, 09:23","Sep 28, 2020, 09:33","9 mins, 53 secs"
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:52","Sep 28, 2020, 08:34","42 mins, 15 secs"
COMPACTION,RULE_STUDIO_COMPACTION,SUCCEEDED,"Sep 28, 2020, 09:24","Sep 28, 2020, 09:33","8 mins, 31 secs"
COMPACTION,SALESFORCE_COMPACTION,FAILED,"Sep 28, 2020, 07:39","Sep 28, 2020, 08:23","43 mins, 50 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:15","Sep 28, 2020, 07:39","23 mins, 56 secs"
COMPACTION,SERVICEMAX_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:59","Sep 28, 2020, 09:24","1 hrs, 25 mins, 16 secs"
COMPACTION,SIEBEL_AMERICAS_COMPACTION,SUCCEEDED,"Sep 28, 2020, 07:42","Sep 28, 2020, 09:24","1 hrs, 41 mins, 56 secs"
COMPACTION,SIT_COMPACTION,SUCCEEDED,"Sep 28, 2020, 08:26","Sep 28, 2020, 10:01","1 hrs, 35 mins, 29 secs"
ENTITY,CD_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Sep 28, 2020, 10:43","Sep 28, 2020, 11:19","35 mins, 58 secs"
ENTITY,CI_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Sep 28, 2020, 11:48","Sep 28, 2020, 12:25","37 mins, 16 secs"
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,SUCCEEDED,"Sep 28, 2020, 11:19","Sep 28, 2020, 11:48","28 mins, 59 secs"
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Sep 28, 2020, 11:19","Sep 28, 2020, 12:04","44 mins, 57 secs"
ENTITY,IB_UPGRADE_ENTITY_JOBS,RUNNING,"Sep 28, 2020, 15:35",-,-
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Sep 28, 2020, 08:14","Sep 28, 2020, 10:10","1 hrs, 55 mins, 23 secs"
ENTITY,MAPP_REFRESH_SPOTFIRE,SUCCEEDED,"Sep 28, 2020, 11:08","Sep 28, 2020, 11:08","0 mins, 3 secs"
ENTITY,MAPP_SNAPSHOT_WRAPPER,SUCCEEDED,"Sep 28, 2020, 10:42","Sep 28, 2020, 11:08","25 mins, 29 secs"
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,SUCCEEDED,"Sep 28, 2020, 10:35","Sep 28, 2020, 10:42","7 mins, 26 secs"
ENTITY,SR_ENTITY_MASTER_SCHEDULE,SUCCEEDED,"Sep 28, 2020, 13:46","Sep 28, 2020, 15:04","1 hrs, 17 mins, 51 secs"
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
CDS,CI_CDS_MASTER_SCHEDULE,SUCCEEDED,"Sep 28, 2020, 13:46","Sep 28, 2020, 15:35","1 hrs, 49 mins, 22 secs"
CDS,IB_INTEL_CDS_MASTER_SCHEDULE,SUCCEEDED,"Sep 28, 2020, 12:04","Sep 28, 2020, 13:46","1 hrs, 42 mins, 17 secs"
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Sep 28, 2020, 10:10","Sep 28, 2020, 10:35","24 mins, 49 secs"
CDS,OUTLIERS_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,SR_CDS_MASTER_SCHEDULE,RUNNING,"Sep 28, 2020, 15:04",-,-
