Activity
COMPACTION_MAPP_GLPROD_MTL_ONHAND_QUANTITIES_DETAIL_INTRADAY_ACTIVITY
COMPACTION_MAPP_GLPROD_OE_ORDER_HEADERS_ALL_INTRADAY_ACTIVITY
COMPACTION_MAPP_GLPROD_OE_ORDER_LINES_ALL_INTRADAY_ACTIVITY
COMPACTION_MAPP_GLPROD_GEHC_GPO_ORDLINE_ADDL_INFO_INTRADAY_ACTIVITY
COMPACTION_MAPP_GLPROD_GEMS_GPO_ORDER_TRACKING_TBL_INTRADAY_ACTIVITY
COMPACTION_MAPP_GLPROD_MTL_RESERVATIONS_INTRADAY_ACTIVITY
COMPACTION_MAPP_GLPROD_OE_ORDER_HOLDS_ALL_INTRADAY_ACTIVITY
COMPACTION_MAPP_GLPROD_GL_LEDGERS_ACTIVITY
COMPACTION_NONSS_GLPROD_BOM_COMPONENTS_B_FULL_ACTIVITY
